osm_id,highway,name,name:de,name:it,short_name
150898108,path,Pista Ciclabile Valle dell'Adige,Etschtalradweg,Pista Ciclabile Valle dell'Adige,
151201797,service,Via dell'Asilo,,,
151201798,service,Via dell'Asilo,,,
151230133,residential,Via Asilo Pedrotti,,,
151246115,residential,Via Luigi Caneppele,,,
151330865,pedestrian,Vicolo Galasso,,,
151331989,footway,Vicolo Colico,,,
151333519,pedestrian,Vicolo Benassuti,,,
151333520,footway,Vicolo dei Birri,,,
151527783,unclassified,Via San Bartolameo,,,
151869462,path,Pista Ciclabile Valle dell'Adige,Etschtalradweg,Pista Ciclabile Valle dell'Adige,
151869466,tertiary,Via Roberto da Sanseverino,,,
151869467,tertiary,Via Roberto da Sanseverino,,,
152149995,cycleway,Pista Ciclabile Valle dell'Adige,Etschtalradweg,Pista Ciclabile Valle dell'Adige,
152276371,tertiary,Via Don Alfonso Anselmi,,,
152276373,unclassified,Via Ponte Alto,,,
152342546,tertiary,Via Luigi Caneppele,,,
152342549,tertiary,Via Luigi Caneppele,,,
152344520,steps,Passaggio San Benedetto,,,
153639912,secondary,Via di Centa,,,
153840008,residential,Viale Rovereto,,,
155428148,unclassified,Via Torre D'Augusto,,,
155428150,unclassified,Via Torre D'Augusto,,,
155831305,unclassified,Località i Laghetti,,,
155831306,unclassified,Località I Laghetti,,,
155995190,residential,Via delle Node,,,
155996202,service,Via Marzola,,,
156672867,track,Strada forestale de la Casara,,,
156672868,unclassified,Strada della Casara,,,
156672888,track,Strada forestale Val Granda,,,
159242467,pedestrian,Vicolo del Teatro,,,
160503360,via_ferrata,Sentiero Attrezzato G. Bertotti,,,
161758824,residential,Via Villa Maria,,,
161758826,residential,Via Madonnina,,,
161758828,residential,Via Madonna della Corona,,,
162228660,unclassified,Via Giovanni Battista Borsieri,,,
162228663,residential,Via senatore Carlo Esterle,,,
162228664,unclassified,Via al Torrione,,,
162228665,unclassified,Via senatore Carlo Esterle,,,
162618747,unclassified,Strada Stretta,,,
163212179,residential,Piazza General Antonio Cantore,,,
163832950,unclassified,Via Lavisotto,,,
164729691,unclassified,Via al Maso Frachetti,,,
164887380,steps,Sentiero 100 scalini,,,
165179681,pedestrian,Via Paolo Ossimo Mazzurana,,,Via Oss Mazzurana
165194374,unclassified,Via di Moià,,,
165585850,unclassified,Via Edmondo de Amicis,,,Via de Amicis
166806353,residential,Località Candriai,,,
167072294,residential,Via dei Solteri,,,
167082617,service,Passaggio Luigi Carbonari,,,
167628016,track,Pinara,,,
168546998,tertiary,Lungadige Giacomo Leopardi,,,
172595176,residential,Via Isarco,,,
172810916,cycleway,Pista Ciclabile Valle dell'Adige,Etschtalradweg,Pista Ciclabile Valle dell'Adige,
172810919,cycleway,Pista Ciclabile Valle dell'Adige,Etschtalradweg,Pista Ciclabile Valle dell'Adige,
172810925,trunk,Tangenziale Ovest,,,
172810928,trunk,Tangenziale Sud,,,
174008869,residential,Viale degli Olmi,,,
174172359,residential,Via Santissima Trinitá,,,
174172360,residential,Via Santissima Trinitá,,,
176477268,residential,Via dei Pradestei,,,
176477269,unclassified,Via di San Fabiano,,,
176477270,residential,Via per Campél,,,
176477313,unclassified,Via del Rafaèi,,,
177180084,tertiary,Via Andrea Pozzo,,,
177180085,tertiary,Via Torre Vanga,,,
178959074,unclassified,Rione San Marco,,,
178959076,unclassified,Rione San Marco,,,
183163976,residential,Via per l'Osservatorio,,,
183164455,residential,Via Carlo Bertoldi,,,
183165048,residential,Via per L'Osservatorio,,,
183165063,residential,Via dei Bòlner,,,
183168468,residential,Via Mario Cavalieri,,,
183172054,residential,Via del Corallo,,,
183172055,residential,Via del Corallo,,,
185860333,residential,Via Alcide Degasperi,,,Via Degasperi
186555612,residential,Via Padre Eusebio Chini,,,
187869367,residential,"Via Ancilla Marighetto ""Ora""",,,
187869374,residential,"Via Ancilla Marighetto ""Ora""",,,
188276851,residential,Via dei Pozati,,,
189295407,residential,Via Madonnina,,,
189295408,residential,Via Madonnina,,,
189295409,residential,Via Redondolo,,,
189295410,unclassified,Via Redondolo,,,
189295411,unclassified,Via Salè,,,
189295412,unclassified,Via Salè,,,
189295413,unclassified,Via Spré,,,
189295414,unclassified,Via Spré,,,
189295415,unclassified,Via Spré,,,
189295416,unclassified,Via Spré,,,
189295417,unclassified,Via Spré,,,
189295418,unclassified,Via dei Paho,,,
189295419,unclassified,Via dei Rivi,,,
189295420,unclassified,Via dei Rivi,,,
189295421,tertiary,Via della Resistenza,,,
189295422,tertiary,Via della Resistenza,,,
189295572,residential,Via Redondolo,,,
191633685,tertiary,Via dei Muredei,,,
191633686,tertiary,Via Vittorio Veneto,,,
191633698,tertiary,Via Vittorio Veneto,,,
194492785,residential,Via Giovanni Prati,,,via Prati
195617230,unclassified,Via Padre Emilio Chiocchetti,,,
195832706,residential,Via Gian Battista Lampi,,,
196296407,residential,Via Argentario,,,
198530824,tertiary,Via Andrea Pozzo,,,
198530825,residential,Via Roma,,,
201174992,track,Sentiero delle Acque,,,
201174994,tertiary,Via Borino,,,
201174997,track,Strada forestale Fontana dei Gai,,,
201619618,unclassified,Via dei Ronchi,,,
202983644,residential,Via 26 settembre 1959,,,
203885547,service,"Piazza del ""Tridente""",,,
203935549,secondary,Via Bassano,,,
204162170,service,Via Alcide Degasperi,,,
209650337,steps,Salita Filippo Manci,,,
213521402,unclassified,Corso del Lavoro e della Scienza,,,
213521404,pedestrian,Viale Adriano Olivetti,,,
213521408,pedestrian,Viale della Costituzione,,,
214666813,residential,Via Muralta,,,
214666816,tertiary,Via Muralta,,,
214754042,secondary,Via Bassano,,,
215030168,unclassified,Via Jacopo Aconcio,,,
215622545,unclassified,Via di Costa San Nicolò,,,
215655343,unclassified,Via Santi Cosma e Damiano,,,
